Team ID,Season,FGM,FGA,FTM,FTA,Ast,TO,Stl,Blk,Reb
1326,2015,48,109,26,37,25,23,9,10,58
1328,2015,67,161,45,56,30,31,16,13,113
1329,2015,27,60,9,13,11,12,8,0,31
1332,2015,55,112,19,25,24,20,12,10,62
1344,2015,20,59,3,7,9,16,4,1,39
1345,2015,26,72,9,15,13,12,5,1,51
1352,2015,52,128,23,37,24,13,18,3,59
1361,2015,44,111,26,41,17,24,11,8,73
1372,2015,17,51,11,13,9,12,7,1,29
1374,2015,20,55,12,20,12,9,11,4,33
1385,2015,27,59,7,11,6,10,7,2,32
1400,2015,17,50,8,12,7,15,4,5,41
1411,2015,24,51,19,30,5,9,5,3,19
1412,2015,53,135,14,21,26,21,12,8,78
1414,2015,24,52,2,2,10,14,5,2,29
1417,2015,81,172,34,50,39,38,12,16,114
1428,2015,61,136,50,68,31,41,18,14,87
1433,2015,24,63,14,19,14,11,4,2,37
1434,2015,20,56,10,18,12,9,5,1,31
1437,2015,55,118,31,38,29,13,13,9,65
1438,2015,43,114,39,51,17,12,7,6,74
1452,2015,59,163,44,65,29,35,26,5,95
1455,2015,76,177,62,77,31,26,25,12,107
1458,2015,154,322,97,127,72,44,20,8,193
1459,2015,18,57,10,16,7,8,5,1,37
1461,2015,21,46,3,9,14,12,2,3,22
1462,2015,71,141,49,62,39,36,16,9,92
1112,2016,20,48,9,15,7,19,2,3,39
1114,2016,50,131,29,44,18,17,14,1,77
1122,2016,25,61,25,37,6,12,8,0,37
1124,2016,30,68,9,15,16,7,9,2,32
1138,2016,23,59,16,22,8,10,4,1,31
1139,2016,50,105,24,33,23,18,17,3,56
1143,2016,23,56,17,26,6,16,3,1,38
1151,2016,28,59,15,18,9,15,7,2,24
1153,2016,28,55,10,13,13,9,3,6,30
1160,2016,23,51,19,30,8,12,5,3,33
1163,2016,44,120,31,34,19,16,15,12,60
1167,2016,26,58,11,14,15,14,6,3,35
1173,2016,18,56,9,19,11,9,7,3,28
1181,2016,78,163,54,74,35,28,14,18,100
1192,2016,23,70,11,18,16,9,9,1,33
1195,2016,59,115,35,58,37,32,12,9,95
1201,2016,26,53,10,12,8,14,15,3,15
1211,2016,82,172,23,32,44,46,18,13,119
1214,2016,17,56,8,10,4,7,1,0,31
1218,2016,50,122,30,40,21,20,5,4,71
1221,2016,38,95,20,34,20,24,6,3,57
1231,2016,87,170,55,68,49,37,17,10,92
1233,2016,31,64,12,18,12,13,6,3,37
1234,2016,51,129,24,35,27,16,12,6,67
1235,2016,89,169,37,56,48,28,21,7,90
1242,2016,116,233,63,81,62,50,21,19,160
1246,2016,57,120,30,36,22,26,15,17,78
1268,2016,67,148,66,78,27,33,17,17,93
1274,2016,70,139,51,70,28,42,21,11,87
1276,2016,49,122,16,21,28,15,15,7,63
1277,2016,30,54,10,15,20,14,6,2,30
1292,2016,52,123,17,29,24,20,10,7,63
1314,2016,188,374,97,121,96,60,35,28,231
1320,2016,48,112,47,59,23,23,11,6,69
1323,2016,103,198,48,59,49,48,18,17,111
1328,2016,134,297,59,87,72,69,26,21,176
1332,2016,108,233,68,94,53,38,16,20,153
1333,2016,25,60,10,15,14,6,5,2,28
1338,2016,18,48,4,7,6,10,3,3,36
1344,2016,48,119,25,37,25,17,10,4,55
1345,2016,26,62,22,28,17,18,2,7,52
1355,2016,24,59,16,17,8,11,5,2,28
1371,2016,20,62,8,21,8,12,11,1,34
1372,2016,46,119,38,48,31,13,21,8,60
1380,2016,22,56,8,11,10,9,4,2,33
1386,2016,50,115,29,37,20,18,9,4,66
1392,2016,20,76,14,18,10,14,6,3,46
1393,2016,118,286,71,99,48,52,41,34,185
1396,2016,30,66,6,9,12,12,2,3,49
1400,2016,25,56,13,18,10,9,2,4,32
1401,2016,85,192,57,86,39,46,25,5,137
1403,2016,25,54,4,9,14,14,8,4,28
1409,2016,25,56,9,15,10,11,5,6,36
1421,2016,21,57,9,13,11,14,5,2,32
1423,2016,30,68,14,19,10,9,5,3,34
1425,2016,28,52,7,13,13,12,6,2,35
1428,2016,49,102,27,30,25,33,16,4,62
1433,2016,57,122,27,37,29,25,10,5,77
1435,2016,16,53,15,26,9,12,1,5,38
1437,2016,181,311,83,102,88,62,53,20,174
1438,2016,115,220,48,65,78,35,18,22,136
1451,2016,22,57,5,11,9,11,8,2,27
1452,2016,16,52,21,27,8,22,5,7,48
1453,2016,21,56,14,23,14,18,14,5,25
1455,2016,66,177,44,58,29,28,24,7,106
1458,2016,65,169,21,34,29,35,17,12,111
1462,2016,52,116,18,25,24,21,12,3,79
1463,2016,51,114,32,42,27,23,8,9,78
1112,2017,86,175,53,62,32,24,14,9,107
1116,2017,54,120,23,31,22,29,22,11,64
1124,2017,83,178,43,54,42,40,18,13,110
1137,2017,27,59,17,23,13,15,8,4,32
1139,2017,75,158,56,74,44,31,13,9,96
1153,2017,53,101,24,32,21,21,6,5,63
1166,2017,26,65,13,19,11,11,2,3,37
1173,2017,18,58,15,20,11,6,6,3,29
1181,2017,51,115,43,52,26,26,19,15,70
1190,2017,25,62,6,10,12,17,9,0,32
1195,2017,29,70,14,20,18,11,6,1,26
1196,2017,102,226,65,87,47,53,29,17,139
1199,2017,54,114,38,58,26,25,16,12,79
1211,2017,147,346,92,150,66,75,29,36,257
1233,2017,28,64,11,16,10,10,4,7,27
1235,2017,60,114,25,32,31,20,11,6,66
1240,2017,23,46,7,8,14,14,1,8,23
1242,2017,125,250,59,74,63,37,28,12,149
1243,2017,52,101,39,51,28,22,13,5,52
1245,2017,31,71,9,12,10,8,3,0,36
1246,2017,108,244,60,82,57,34,23,21,145
1257,2017,59,125,19,26,26,17,11,10,73
1266,2017,25,54,12,14,12,18,3,3,28
1268,2017,22,54,14,19,13,11,7,3,24
1274,2017,21,52,12,17,8,10,9,1,23
1276,2017,82,171,36,43,46,18,12,12,82
1277,2017,55,110,24,31,31,22,4,4,64
1278,2017,24,52,18,21,15,8,5,3,24
1291,2017,46,104,16,25,24,25,11,6,52
1292,2017,53,115,29,41,34,20,9,3,65
1297,2017,26,73,10,11,11,8,6,3,40
1300,2017,24,67,10,13,14,9,10,0,30
1305,2017,26,65,13,16,13,7,8,4,28
1308,2017,28,64,9,13,15,11,6,2,27
1309,2017,29,54,7,12,12,14,10,2,28
1314,2017,171,394,111,163,103,68,47,29,270
1315,2017,32,69,8,16,18,6,6,2,31
1321,2017,53,119,21,31,22,25,18,5,73
1323,2017,43,106,31,38,22,20,10,6,64
1329,2017,35,64,14,16,17,10,3,3,40
1332,2017,137,288,71,99,56,60,32,22,191
1343,2017,22,57,6,6,13,9,2,4,33
1344,2017,25,51,12,17,17,9,3,2,27
1345,2017,86,180,27,41,60,36,14,7,105
1348,2017,56,117,34,39,22,19,16,5,66
1355,2017,18,58,5,11,8,13,3,4,38
1371,2017,26,68,13,21,10,15,6,4,46
1374,2017,24,57,8,11,11,8,5,0,30
1376,2017,137,300,95,127,64,52,37,18,183
1388,2017,50,99,34,47,27,28,10,8,67
1407,2017,24,59,12,14,10,17,1,2,37
1411,2017,22,60,13,16,9,13,6,3,27
1413,2017,43,110,34,40,21,32,9,3,67
1417,2017,97,176,30,46,62,22,10,13,91
1423,2017,25,61,11,17,15,9,4,2,40
1425,2017,78,162,39,51,45,30,13,11,93
1433,2017,29,65,17,26,6,9,7,4,29
1435,2017,21,55,15,18,9,10,7,6,30
1436,2017,27,61,6,10,21,9,6,1,28
1437,2017,52,111,23,32,19,21,13,4,73
1438,2017,42,106,23,32,17,19,9,8,65
1439,2017,23,49,21,26,14,10,3,2,25
1448,2017,25,53,29,32,14,11,8,1,21
1452,2017,73,180,63,84,38,38,18,17,117
1455,2017,43,110,26,36,23,27,2,13,86
1457,2017,25,62,5,10,12,9,6,1,27
1458,2017,80,164,46,71,43,38,16,10,107
1462,2017,105,219,61,88,55,43,19,9,138
1104,2018,50,98,32,50,32,32,10,6,59
1112,2018,29,64,8,11,13,9,4,3,31
1113,2018,21,52,3,10,19,11,5,3,34
1116,2018,20,56,18,23,9,7,6,6,25
1120,2018,38,125,27,47,19,18,14,7,68
1137,2018,23,55,21,28,13,8,3,1,28
1138,2018,60,129,22,29,21,20,8,3,62
1139,2018,56,114,23,26,27,22,10,3,73
1153,2018,51,128,25,31,27,15,8,6,90
1155,2018,90,185,37,51,41,27,16,14,120
1158,2018,23,51,7,14,10,21,6,0,40
1166,2018,23,68,4,5,12,13,6,3,45
1168,2018,18,50,8,16,7,17,3,5,34
1172,2018,24,61,14,17,12,9,2,2,28
1181,2018,117,244,57,78,70,44,27,8,140
1196,2018,52,128,23,33,30,20,16,13,74
1199,2018,88,213,70,95,50,53,33,26,143
1209,2018,21,53,3,3,3,9,6,5,26
1211,2018,76,176,47,80,29,36,15,8,118
1222,2018,42,113,34,46,13,17,6,3,80
1233,2018,26,60,10,14,16,10,5,2,29
1242,2018,141,308,75,100,71,59,29,18,191
1243,2018,83,214,51,77,37,45,37,11,127
1246,2018,78,157,65,92,33,38,17,10,116
1252,2018,23,64,13,15,14,13,9,2,29
1254,2018,19,50,16,23,13,15,3,0,32
1260,2018,126,249,48,65,74,68,22,8,154
1267,2018,50,116,31,43,29,27,20,7,54
1274,2018,25,49,8,13,11,16,7,7,33
1276,2018,149,332,74,110,67,60,42,15,199
1277,2018,48,124,26,38,32,24,8,8,91
1281,2018,16,49,14,21,8,16,5,4,36
1285,2018,18,56,8,11,7,12,7,2,33
1293,2018,21,51,19,23,12,16,5,6,36
1300,2018,21,69,4,6,10,15,5,2,43
1301,2018,28,61,16,27,14,10,4,0,34
1305,2018,86,182,34,50,39,19,17,11,91
1308,2018,24,62,11,17,16,11,3,1,33
1314,2018,57,138,20,25,36,24,15,2,83
1326,2018,57,138,28,35,27,21,16,4,72
1328,2018,29,69,16,24,12,14,4,5,54
1335,2018,22,56,5,14,16,11,4,2,33
1344,2018,27,62,9,12,17,6,5,0,26
1345,2018,75,169,38,51,30,36,13,9,104
1347,2018,48,118,22,29,27,28,12,5,69
1348,2018,55,140,17,33,31,19,9,7,70
1355,2018,24,63,12,14,8,13,3,2,39
1361,2018,20,54,21,35,11,12,4,5,44
1371,2018,57,122,42,55,21,22,9,5,79
1372,2018,18,47,19,28,9,13,10,3,31
1382,2018,40,108,40,55,17,24,17,3,70
1393,2018,81,199,60,86,33,46,19,14,141
1395,2018,19,48,11,17,14,13,3,4,34
1397,2018,52,115,17,22,28,19,14,8,68
1400,2018,31,67,10,18,12,9,4,4,42
1401,2018,89,179,34,57,43,42,11,20,127
1403,2018,101,236,54,74,53,41,18,17,147
1411,2018,47,122,39,46,21,25,17,11,72
1417,2018,21,50,6,10,13,20,1,6,41
1420,2018,40,95,19,32,22,29,13,2,61
1422,2018,28,67,5,10,7,13,4,1,41
1437,2018,165,348,97,119,88,73,32,27,227
1438,2018,23,56,4,8,5,7,8,1,22
1439,2018,30,54,14,20,14,14,7,1,22
1452,2018,92,198,50,65,49,36,28,13,112
1455,2018,27,65,13,17,17,15,4,1,44
1460,2018,19,60,5,9,9,13,5,2,32
1462,2018,58,113,40,62,30,31,12,12,75
1101,2019,17,53,5,10,9,10,9,3,17
1113,2019,48,109,44,53,24,32,14,6,68
1120,2019,141,304,63,91,68,42,39,21,157
1124,2019,53,112,23,31,30,22,13,7,58
1125,2019,55,118,30,41,29,16,8,8,70
1133,2019,22,52,12,18,12,10,3,3,26
1138,2019,50,112,30,48,26,31,14,2,74
1153,2019,28,65,10,14,9,7,4,2,32
1159,2019,25,56,5,6,10,13,3,1,31
1181,2019,120,245,33,52,65,42,24,25,146
1192,2019,45,105,26,42,20,34,8,12,70
1196,2019,43,108,19,24,21,20,13,5,60
1199,2019,81,187,45,57,37,33,29,16,120
1205,2019,22,50,3,4,10,16,5,2,21
1209,2019,18,60,13,17,5,7,6,1,27
1211,2019,115,242,51,73,67,52,29,23,168
1222,2019,80,173,36,50,43,24,21,8,109
1233,2019,22,55,14,15,11,12,6,1,26
1234,2019,52,112,34,48,23,26,7,4,67
1235,2019,23,53,7,10,9,12,9,2,31
1242,2019,61,120,26,30,25,28,10,5,83
1243,2019,22,59,12,15,10,13,5,1,34
1246,2019,100,215,58,79,44,48,21,9,155
1251,2019,42,99,32,39,27,22,6,5,61
1257,2019,26,59,15,17,16,5,2,0,35
1261,2019,76,187,42,58,32,30,17,10,114
1266,2019,24,74,8,12,6,12,9,5,44
1268,2019,51,132,29,43,24,17,9,11,83
1276,2019,65,157,39,53,37,36,16,6,116
1277,2019,127,286,54,69,71,56,23,19,189
1278,2019,47,117,29,40,17,11,12,4,54
1279,2019,29,62,3,4,16,11,1,2,30
1280,2019,25,52,18,23,11,12,7,8,32
1285,2019,20,60,9,13,10,10,8,3,30
1293,2019,50,117,29,45,30,25,14,7,75
1295,2019,46,110,31,38,19,19,1,5,63
1297,2019,23,62,6,8,11,17,6,3,39
1300,2019,24,57,17,21,17,9,0,2,38
1305,2019,19,55,18,25,4,14,7,5,40
1308,2019,25,51,20,27,14,16,6,2,39
1314,2019,95,203,36,47,50,41,15,3,140
1318,2019,16,57,15,20,7,10,8,3,27
1326,2019,42,107,22,30,24,25,11,2,69
1328,2019,53,111,26,32,24,11,13,3,60
1330,2019,18,67,6,6,4,9,7,5,41
1332,2019,72,155,21,27,34,30,18,14,96
1341,2019,28,64,5,7,17,12,9,1,27
1345,2019,110,225,48,77,56,40,12,14,161
1371,2019,25,62,9,15,12,13,4,3,32
1385,2019,22,69,13,23,9,16,11,1,43
1387,2019,19,52,10,16,6,18,6,4,36
1388,2019,23,55,3,6,9,8,3,3,33
1393,2019,21,51,15,18,12,13,5,4,28
1396,2019,28,71,7,13,13,11,7,1,39
1397,2019,92,192,41,62,41,32,18,15,114
1403,2019,153,335,75,99,69,61,42,29,198
1414,2019,42,101,26,32,16,29,11,4,67
1416,2019,54,111,23,31,28,26,11,11,76
1429,2019,19,54,16,20,13,21,3,4,35
1433,2019,19,61,14,17,6,12,8,3,34
1436,2019,23,53,7,13,9,16,2,3,33
1437,2019,44,107,15,20,18,17,10,3,53
1438,2019,154,341,57,78,80,53,31,27,214
1439,2019,69,167,48,61,40,29,23,4,99
1449,2019,48,111,22,31,22,27,17,12,53
1458,2019,20,60,8,13,9,13,8,1,35
1459,2019,47,110,25,32,21,18,6,6,56
1463,2019,27,72,12,15,8,9,5,5,38
