EventPlayerID,Season,Ast,Block,Foul,Reb,Steal,Turnover,Made,Attempts,Possible
221,2015,20,13,63,151,19,49,59,116,109
224,2015,1,0,4,6,4,2,5,10,4
225,2015,55,2,44,72,33,33,100,232,47
227,2015,27,1,43,35,6,29,41,99,32
229,2015,0,0,2,1,0,2,2,5,0
230,2015,0,0,0,0,0,1,0,0,0
233,2015,0,0,0,0,0,0,0,1,0
235,2015,29,23,61,209,14,44,92,219,87
239,2015,140,4,64,104,51,66,141,325,99
243,2015,11,3,39,42,10,27,56,143,29
252,2015,0,0,3,1,2,1,1,5,1
253,2015,18,3,43,66,8,17,54,139,37
255,2015,3,6,21,18,0,14,10,19,14
259,2015,2,0,4,6,3,6,5,16,7
262,2015,56,0,26,72,13,44,108,252,90
267,2015,0,0,0,1,0,0,0,1,0
270,2015,4,7,46,70,5,19,31,52,21
272,2015,23,4,86,146,23,31,46,106,45
273,2015,59,26,90,251,40,88,168,332,150
274,2015,74,2,77,152,45,58,100,230,114
275,2015,94,6,70,118,27,67,138,335,115
276,2015,8,2,55,67,11,17,20,48,39
277,2015,0,0,1,1,0,0,1,3,0
278,2015,0,0,1,0,0,0,1,2,0
279,2015,0,0,3,2,0,1,0,2,2
282,2015,0,0,7,2,1,4,5,13,0
283,2015,5,2,25,25,0,10,7,20,6
290,2015,42,1,39,57,29,37,59,146,47
293,2015,4,0,6,4,6,8,4,28,3
295,2015,0,0,1,1,0,0,0,1,0
296,2015,28,3,30,41,13,21,25,79,11
297,2015,0,0,0,4,0,1,1,7,0
298,2015,21,0,10,17,9,16,6,30,2
300,2015,12,13,61,87,12,27,78,168,78
301,2015,7,2,34,72,4,16,86,188,33
303,2015,45,11,84,93,38,64,143,388,167
308,2015,3,12,73,71,8,18,41,75,33
316,2015,16,13,70,105,23,27,35,111,40
317,2015,53,21,67,230,20,57,120,322,179
320,2015,23,3,26,51,12,30,53,129,45
321,2015,2,0,7,3,1,2,3,12,0
326,2015,3,5,4,7,0,4,2,12,4
330,2015,21,11,36,40,5,32,21,47,22
331,2015,130,5,77,102,67,85,120,262,93
334,2015,61,16,64,124,28,35,88,178,84
342,2015,1,0,4,1,0,0,0,0,1
344,2015,0,0,4,0,1,0,0,0,0
346,2015,47,17,58,63,7,39,44,130,54
347,2015,0,0,8,5,1,5,3,8,2
349,2015,44,19,75,164,33,62,158,336,144
350,2015,3,0,17,24,3,6,24,46,10
352,2015,53,9,78,104,28,54,145,310,56
355,2015,45,2,58,118,23,29,78,150,39
358,2015,55,3,46,72,8,38,58,162,46
361,2015,84,0,54,71,12,47,89,229,45
362,2015,30,2,27,105,15,20,54,166,25
365,2015,49,0,63,114,37,73,138,361,176
368,2015,2,6,12,19,1,5,6,18,2
369,2015,18,0,29,36,5,24,24,73,30
372,2015,4,1,12,6,0,4,5,20,4
377,2015,4,0,8,3,0,3,5,10,2
381,2015,12,3,71,75,4,42,38,95,36
382,2015,1,2,27,25,1,5,14,31,19
383,2015,7,1,11,29,3,8,14,44,8
384,2015,5,28,60,72,14,27,50,109,41
387,2015,14,2,50,88,6,25,24,49,41
389,2015,4,0,1,2,0,2,3,8,0
392,2015,29,13,81,203,15,61,115,227,63
399,2015,25,25,109,197,23,55,166,323,172
405,2015,30,3,83,133,16,35,54,106,88
408,2015,1,0,1,0,0,5,1,10,0
409,2015,59,32,95,260,44,59,138,275,205
410,2015,60,1,33,47,11,23,34,75,34
412,2015,63,15,102,247,57,82,174,390,178
414,2015,3,7,9,17,1,1,10,14,6
418,2015,0,0,0,1,0,1,1,3,0
419,2015,238,3,68,146,83,78,156,313,70
420,2015,2,0,1,3,0,0,0,7,0
422,2015,17,2,57,39,12,12,43,109,24
424,2015,2,9,45,75,2,9,48,78,41
429,2015,13,22,118,199,17,53,123,215,153
430,2015,48,26,57,169,27,35,172,320,76
433,2015,0,2,4,9,3,1,8,13,17
436,2015,45,13,45,77,22,37,107,243,74
438,2015,11,2,51,54,5,16,25,73,50
439,2015,25,4,47,75,22,19,76,178,35
440,2015,60,3,68,144,28,80,140,346,73
446,2015,152,10,74,104,56,84,163,395,144
449,2015,35,5,55,78,11,39,62,142,20
450,2015,19,9,71,189,20,51,115,199,91
453,2015,115,0,57,69,16,80,58,183,137
455,2015,32,41,123,202,19,61,102,163,137
456,2015,28,2,22,22,5,19,28,66,12
460,2015,0,2,7,4,0,0,4,4,5
462,2015,59,6,70,159,56,49,145,332,135
464,2015,1,0,0,0,0,0,0,1,0
465,2015,31,4,22,30,4,20,22,55,34
471,2015,11,0,32,42,12,23,27,61,31
476,2015,4,0,14,7,1,4,4,12,6
480,2015,0,0,1,3,0,0,1,3,0
484,2015,8,8,59,71,12,23,21,43,24
486,2015,0,0,9,13,3,4,2,6,1
491,2015,44,2,54,49,14,28,67,194,74
494,2015,0,0,0,1,0,0,0,0,2
496,2015,91,5,78,121,52,50,127,301,85
497,2015,21,5,42,35,8,18,18,50,20
498,2015,23,4,36,109,10,34,59,145,43
499,2015,11,9,69,87,10,25,64,142,43
505,2015,2,13,64,78,3,15,52,107,16
509,2015,3,7,17,18,2,8,9,19,16
515,2015,40,1,65,71,16,22,72,185,49
516,2015,58,2,88,182,46,67,174,387,148
518,2015,33,1,33,51,17,16,15,35,26
519,2015,72,5,40,55,14,32,58,170,67
521,2015,3,1,12,17,4,7,5,23,10
522,2015,13,22,42,92,7,27,62,139,59
523,2015,31,16,74,190,21,50,129,267,142
529,2015,7,16,80,85,10,16,35,74,29
530,2015,4,1,15,33,3,5,13,27,7
533,2015,1,1,1,11,4,5,5,11,6
538,2015,6,8,46,52,4,19,17,40,17
539,2015,92,1,100,79,78,95,80,243,98
540,2015,22,4,61,92,23,40,69,147,50
544,2015,3,0,7,3,2,7,4,10,0
545,2015,25,28,59,129,16,48,100,263,98
548,2015,16,6,49,58,21,36,25,71,30
552,2015,73,0,54,81,58,97,145,360,159
553,2015,12,15,22,18,8,14,4,13,6
557,2015,31,5,59,78,31,45,94,245,36
563,2015,2,8,19,14,0,9,6,10,9
564,2015,0,1,2,3,1,1,0,5,4
568,2015,29,14,53,74,24,37,59,119,34
569,2015,0,0,1,0,0,2,1,1,0
570,2015,14,3,7,20,5,5,7,22,2
573,2015,53,0,84,67,35,32,66,172,55
574,2015,50,4,62,42,21,32,95,257,41
577,2015,52,0,39,27,10,27,20,66,14
582,2015,53,35,74,115,28,41,96,202,90
591,2015,11,38,56,90,15,23,49,101,53
594,2015,164,5,81,132,29,84,100,236,116
595,2015,1,0,21,6,1,2,3,9,2
600,2015,42,50,80,321,39,56,250,466,156
601,2015,60,17,64,192,32,61,180,413,204
606,2015,1,1,3,6,1,4,1,5,3
607,2015,39,0,54,73,37,28,38,68,24
609,2015,39,15,65,101,24,33,73,179,59
611,2015,3,12,47,118,5,29,62,138,59
618,2015,4,15,72,72,4,32,40,104,36
619,2015,13,0,17,34,6,21,24,55,19
621,2015,13,1,29,22,3,16,14,49,27
623,2015,34,6,62,88,32,42,119,297,51
625,2015,71,5,55,91,47,63,128,351,94
626,2015,121,0,55,79,18,56,40,113,54
630,2015,22,28,62,281,12,75,159,347,143
631,2015,17,0,22,19,5,24,16,37,9
634,2015,0,0,0,3,0,1,0,2,0
641,2015,3,18,57,81,13,13,28,67,21
642,2015,0,0,4,7,0,1,0,3,2
646,2015,1,0,1,1,0,0,1,4,5
648,2015,3,0,4,9,1,2,0,2,0
651,2015,140,7,80,139,32,75,106,197,110
652,2015,5,0,11,12,6,10,13,35,4
655,2015,2,3,6,12,4,4,8,17,11
658,2015,35,44,85,164,14,49,112,175,85
663,2015,5,2,32,21,3,2,7,20,5
665,2015,2,1,11,12,0,3,2,5,2
666,2015,0,0,2,3,0,1,0,0,2
672,2015,15,0,12,15,5,10,9,22,4
674,2015,8,0,14,7,2,8,7,23,4
676,2015,9,5,28,37,5,12,26,69,12
677,2015,0,0,0,0,0,0,0,0,0
678,2015,11,7,18,29,11,3,15,36,4
679,2015,37,12,58,166,24,56,160,381,92
680,2015,1,1,6,4,0,3,3,14,0
682,2015,6,4,21,22,3,3,5,10,8
686,2015,36,8,78,120,18,31,52,127,33
687,2015,21,2,20,18,7,16,23,46,13
688,2015,19,4,62,20,20,18,23,71,33
689,2015,0,0,0,0,0,0,0,0,0
690,2015,54,3,51,83,23,77,171,445,117
694,2015,45,17,91,315,36,84,146,356,200
696,2015,64,14,97,86,35,43,58,159,97
705,2015,35,21,87,116,22,42,60,129,31
708,2015,49,2,80,98,31,85,185,412,194
709,2015,34,7,82,137,30,38,118,280,109
711,2015,0,0,0,0,0,0,2,2,0
713,2015,3,0,0,2,0,1,1,4,0
714,2015,10,2,47,32,4,11,20,56,20
717,2015,23,1,59,58,26,41,104,251,143
724,2015,4,0,15,8,1,2,3,14,0
726,2015,3,16,38,43,2,11,8,21,22
727,2015,77,1,84,75,50,80,71,194,111
728,2015,35,0,42,26,16,17,48,134,36
731,2015,0,0,2,2,0,1,1,6,0
734,2015,4,4,32,32,0,1,6,18,6
740,2015,0,0,5,3,1,2,3,9,4
744,2015,73,7,70,133,24,64,81,226,145
745,2015,5,9,42,43,3,16,26,83,19
747,2015,42,3,67,81,27,44,88,223,88
748,2015,21,21,80,141,13,46,111,187,62
755,2015,42,60,58,306,32,68,131,293,147
756,2015,14,1,19,12,8,12,10,40,14
759,2015,4,2,20,13,1,9,3,14,14
765,2015,31,0,23,23,12,11,19,60,11
766,2015,20,1,23,46,20,33,86,240,79
769,2015,41,3,37,30,14,51,21,68,33
774,2015,38,0,50,39,22,35,36,99,25
775,2015,26,4,52,58,10,32,31,104,19
776,2015,18,12,78,175,12,38,112,217,45
778,2015,62,4,57,64,29,42,55,167,20
780,2015,2,3,8,20,2,11,5,23,15
784,2015,72,15,104,162,26,64,106,215,122
786,2015,16,15,71,146,19,31,57,117,110
787,2015,29,0,45,50,11,27,60,161,20
790,2015,9,1,7,2,3,6,2,11,2
795,2015,31,10,54,82,9,46,104,241,87
798,2015,1,0,4,1,0,0,2,2,2
800,2015,82,1,63,51,20,84,66,188,85
801,2015,9,3,18,31,9,16,31,73,11
808,2015,119,0,47,91,40,76,107,281,74
811,2015,4,6,21,42,9,18,25,48,16
812,2015,29,0,27,57,10,35,51,117,43
813,2015,15,34,89,366,41,33,125,275,194
815,2015,0,0,1,3,0,0,1,3,0
818,2015,67,0,56,52,18,43,92,214,73
821,2015,39,1,49,62,16,32,58,132,59
822,2015,1,1,5,9,2,3,8,14,2
825,2015,101,2,77,44,48,53,83,208,58
826,2015,11,0,9,3,3,6,4,10,6
828,2015,23,41,94,137,14,51,98,235,94
829,2015,110,11,74,188,37,55,110,234,84
832,2015,38,28,67,176,45,64,156,331,97
835,2015,20,1,30,51,6,14,10,22,21
837,2015,40,1,51,80,24,26,111,265,30
839,2015,43,7,73,232,20,82,180,261,141
840,2015,93,10,61,114,47,91,194,395,95
841,2015,189,5,69,172,52,81,88,203,110
842,2015,21,0,19,23,7,22,23,48,15
843,2015,22,18,63,105,27,26,54,135,47
844,2015,4,3,24,29,0,11,21,50,24
848,2015,6,1,23,38,7,8,5,15,7
849,2015,1,0,8,8,0,2,3,7,5
850,2015,21,1,7,22,2,19,4,15,13
853,2015,13,11,38,39,1,16,33,67,31
854,2015,12,0,41,26,7,16,10,28,15
859,2015,1,0,5,2,1,3,9,19,11
860,2015,8,6,39,63,4,17,71,175,14
862,2015,9,0,13,18,2,11,20,59,3
867,2015,15,28,95,197,23,63,103,205,75
870,2015,8,19,58,101,9,27,44,76,37
873,2015,8,10,53,70,18,40,41,113,69
874,2015,8,5,78,121,8,37,40,74,37
883,2015,66,2,64,66,37,54,97,284,132
884,2015,23,0,21,15,10,16,12,46,8
889,2015,3,4,15,14,1,6,6,11,6
890,2015,14,0,24,19,10,21,56,138,44
894,2015,3,1,35,25,2,14,3,21,8
898,2015,29,2,26,19,13,22,12,33,12
901,2015,22,1,41,82,14,48,56,176,107
904,2015,1,1,7,18,0,7,7,26,2
905,2015,31,0,57,75,13,38,77,214,26
906,2015,11,9,87,116,16,34,60,113,46
909,2015,76,1,52,79,30,53,78,211,64
914,2015,2,10,17,32,2,11,30,86,10
915,2015,46,14,92,103,19,48,50,132,110
919,2015,6,2,36,44,7,20,55,125,26
921,2015,1,1,4,12,2,7,3,14,4
922,2015,5,6,44,47,8,25,17,41,32
923,2015,3,1,12,13,4,3,2,7,5
924,2015,39,21,75,170,25,83,134,307,127
931,2015,25,7,62,139,30,62,96,264,90
932,2015,4,0,7,29,5,5,9,30,9
933,2015,0,0,5,10,1,2,4,10,1
934,2015,34,1,48,31,16,51,46,141,66
936,2015,34,4,32,27,12,27,40,102,24
937,2015,1,1,24,33,1,9,24,41,18
944,2015,11,0,16,35,5,9,33,77,30
945,2015,29,12,85,103,19,25,92,230,35
947,2015,77,5,52,98,15,53,52,116,48
949,2015,11,0,11,13,4,5,12,37,7
951,2015,24,7,61,105,14,23,54,99,36
953,2015,19,4,41,48,12,14,27,76,31
954,2015,1,0,5,2,2,0,0,5,0
958,2015,91,12,69,113,55,67,220,450,114
959,2015,1,0,2,0,2,0,0,1,0
960,2015,3,1,13,11,2,3,1,3,4
964,2015,51,0,39,67,14,42,62,174,113
965,2015,0,1,4,22,1,5,10,30,8
966,2015,5,6,28,38,0,12,21,47,30
967,2015,16,20,78,236,34,28,124,226,56
973,2015,39,6,91,89,34,42,80,175,69
976,2015,64,1,66,99,19,70,158,384,143
977,2015,3,2,27,37,6,7,7,16,3
978,2015,55,0,47,55,24,44,85,235,42
979,2015,0,0,0,0,0,0,0,0,0
981,2015,28,36,81,171,11,38,75,150,85
984,2015,0,0,0,0,0,0,1,2,0
985,2015,3,2,6,9,2,3,4,10,0
991,2015,135,1,68,135,41,85,225,496,145
993,2015,87,12,90,140,40,61,93,198,75
1001,2015,12,9,56,62,8,22,31,78,26
1005,2015,27,11,64,74,12,27,21,59,17
1006,2015,17,5,53,63,6,25,47,92,21
1007,2015,5,0,2,0,2,3,1,2,0
1017,2015,27,18,79,153,16,45,103,177,55
1020,2015,15,0,9,7,2,4,0,9,2
1021,2015,46,12,85,207,21,54,96,199,98
1022,2015,44,4,72,102,12,55,101,207,170
1024,2015,4,0,18,13,4,7,9,24,12
1026,2015,0,2,13,9,0,7,3,11,0
1027,2015,76,3,86,131,52,78,121,305,217
1029,2015,3,1,17,27,4,8,6,14,3
1032,2015,3,0,6,6,2,8,3,11,5
1033,2015,0,0,0,0,0,0,0,1,0
1036,2015,6,4,36,42,2,13,23,52,19
1040,2015,101,5,54,82,18,39,92,227,42
1050,2015,87,3,35,47,16,62,35,93,58
1051,2015,1,0,1,1,0,1,1,3,0
1053,2015,47,1,41,95,27,46,115,268,72
1055,2015,28,5,58,167,52,38,100,237,53
1056,2015,12,5,90,70,11,21,66,165,37
1059,2015,2,0,3,5,0,2,2,9,0
1063,2015,3,9,30,40,4,10,21,38,12
1065,2015,41,8,49,101,29,23,103,213,53
1067,2015,25,82,74,239,21,57,156,279,142
1068,2015,105,0,45,81,30,54,49,163,35
1073,2015,1,0,6,4,1,2,2,11,3
1075,2015,0,2,16,22,0,5,6,25,0
1076,2015,3,1,2,9,1,2,5,12,1
1077,2015,29,4,78,120,20,42,88,213,88
1081,2015,7,2,8,19,0,7,3,15,11
1088,2015,28,15,71,145,33,49,94,247,65
1089,2015,64,3,86,70,26,58,55,161,69
1104,2015,35,5,32,54,33,30,72,212,109
1105,2015,1,0,0,1,0,0,0,0,0
1111,2015,4,4,55,56,8,16,19,59,26
1114,2015,17,13,77,99,22,34,20,60,27
1117,2015,67,0,48,84,25,57,85,248,95
1118,2015,3,8,73,47,5,22,31,67,30
1119,2015,18,7,53,74,7,31,27,87,20
1121,2015,7,19,39,40,5,11,33,76,10
1123,2015,106,2,67,54,17,89,91,239,109
1133,2015,1,1,3,4,2,0,3,8,2
1134,2015,12,0,57,39,11,26,70,181,37
1138,2015,25,75,94,214,15,58,117,259,105
1139,2015,0,0,1,2,2,1,1,2,0
1142,2015,13,2,25,32,5,11,22,44,20
1143,2015,34,2,54,73,16,25,62,147,57
1147,2015,0,0,1,0,0,1,1,2,0
1150,2015,59,16,78,136,31,63,83,214,123
1152,2015,11,2,13,22,1,17,7,36,18
1153,2015,5,2,61,69,7,27,34,72,42
1155,2015,29,0,48,24,6,29,26,87,19
1156,2015,0,1,6,3,1,2,2,6,0
1157,2015,1,0,0,1,0,1,0,0,0
1161,2015,0,0,11,14,5,4,23,60,18
1163,2015,37,48,118,244,30,59,139,265,89
1170,2015,13,0,62,72,5,28,61,124,49
1174,2015,1,1,5,3,0,0,1,7,0
1176,2015,148,1,62,118,29,83,83,207,74
1178,2015,67,9,102,170,25,41,95,204,120
1179,2015,12,0,34,37,6,14,30,79,15
1181,2015,5,0,15,29,1,5,14,43,8
1182,2015,16,9,45,71,2,21,17,40,25
1183,2015,47,7,60,105,27,66,187,496,115
1187,2015,33,2,42,39,25,35,59,157,39
1188,2015,1,0,5,2,2,2,0,1,0
1190,2015,32,1,56,49,11,24,55,168,26
1191,2015,1,0,1,1,0,0,1,1,0
1192,2015,41,1,41,59,9,22,40,91,40
1194,2015,21,35,87,176,14,48,135,247,111
1195,2015,58,3,58,53,15,30,48,122,92
1197,2015,37,10,58,107,17,49,174,411,119
1198,2015,22,7,37,86,1,30,54,122,31
1200,2015,118,12,80,92,33,46,45,107,86
1202,2015,12,4,53,88,12,13,34,78,43
1207,2015,0,3,25,37,1,5,16,32,14
1211,2015,27,1,41,51,7,29,79,197,40
1212,2015,0,0,1,0,0,0,0,2,2
1215,2015,33,4,44,138,5,34,42,88,32
1216,2015,18,6,36,81,8,29,44,97,74
1222,2015,67,4,53,72,35,43,81,226,49
1224,2015,2,0,4,4,0,3,2,3,3
1228,2015,18,16,91,192,33,47,110,235,91
1229,2015,0,0,2,1,0,0,0,4,0
1235,2015,3,37,80,82,11,24,36,67,34
1242,2015,21,25,99,302,32,73,203,390,237
1245,2015,1,0,2,0,0,2,1,3,4
1248,2015,17,16,58,135,12,16,64,177,60
1250,2015,44,2,61,92,33,21,86,224,41
1252,2015,31,17,58,137,26,33,89,208,76
1254,2015,2,0,8,2,2,2,8,20,9
1257,2015,88,2,103,136,74,64,98,243,61
1258,2015,2,0,4,2,0,1,3,7,0
1260,2015,50,17,80,109,24,40,120,269,120
1262,2015,0,4,12,23,2,3,6,17,9
1264,2015,31,1,47,87,19,51,171,399,167
1265,2015,17,3,68,67,9,22,26,68,14
1270,2015,125,21,86,178,31,89,168,399,160
1274,2015,15,8,55,70,5,33,91,221,60
1276,2015,3,0,0,0,2,1,2,3,0
1280,2015,15,15,62,89,9,22,30,56,41
1281,2015,39,32,69,337,40,41,91,180,126
1284,2015,2,2,23,24,4,4,11,20,16
1285,2015,6,2,19,46,6,3,8,17,12
1287,2015,29,9,21,51,11,17,22,59,44
1292,2015,81,12,84,124,37,104,132,353,161
1297,2015,191,11,72,278,56,93,154,325,175
1300,2015,2,0,3,3,1,2,0,1,2
1302,2015,61,2,48,71,24,47,133,328,61
1305,2015,73,0,63,60,22,47,93,189,67
1310,2015,79,9,45,152,33,67,249,521,223
1311,2015,2,32,114,123,11,29,34,60,56
1317,2015,18,3,29,39,3,10,13,33,10
1321,2015,15,9,36,48,5,6,10,19,7
1325,2015,48,3,53,92,35,28,113,242,100
1326,2015,6,2,90,50,8,10,13,36,26
1330,2015,0,0,0,0,0,0,0,1,0
1333,2015,0,0,12,14,0,6,4,10,5
1336,2015,170,7,70,91,42,88,173,342,179
1340,2015,8,5,42,62,10,7,31,95,10
1341,2015,0,0,0,0,0,0,0,1,2
1343,2015,13,0,11,31,5,13,34,73,24
1344,2015,77,3,78,99,33,65,152,340,85
1347,2015,7,0,36,36,11,3,64,173,15
1348,2015,1,0,0,2,0,0,2,2,0
1349,2015,0,0,0,0,0,0,1,1,0
1352,2015,11,12,59,78,9,22,57,90,46
1357,2015,28,1,55,75,27,33,107,263,62
1361,2015,1,25,55,48,4,10,23,42,28
1362,2015,113,2,74,107,33,56,83,200,95
1363,2015,22,15,64,193,36,19,112,224,60
1365,2015,9,0,41,94,18,25,41,88,59
1368,2015,1,7,36,48,1,3,4,28,8
1370,2015,32,36,83,167,18,43,85,239,48
1372,2015,22,6,63,169,18,33,134,275,70
1373,2015,18,7,37,55,20,9,42,125,22
1377,2015,0,0,1,1,0,0,2,6,0
1386,2015,1,0,2,6,1,1,0,1,6
1387,2015,74,5,47,99,20,47,57,134,44
1391,2015,27,3,62,75,15,25,62,169,103
1393,2015,34,14,49,106,30,33,97,229,104
1394,2015,0,0,0,0,0,0,0,0,0
1398,2015,49,1,38,51,15,33,70,188,52
1399,2015,1,0,20,27,2,5,7,51,5
1402,2015,5,1,10,19,2,0,14,34,3
1405,2015,10,11,79,98,6,22,53,108,53
1406,2015,40,10,51,76,11,28,92,210,34
1409,2015,15,0,21,14,2,19,19,47,6
1414,2015,1,0,3,1,0,0,3,6,9
1416,2015,0,0,1,2,1,0,1,4,0
1421,2015,38,49,105,230,12,50,162,339,62
1428,2015,10,8,26,40,3,13,16,45,24
1430,2015,8,28,59,66,8,21,24,52,23
1433,2015,0,0,0,0,1,0,0,0,0
1435,2015,97,5,79,86,24,45,57,131,35
1437,2015,15,4,49,96,6,17,42,110,6
1439,2015,131,11,91,235,42,94,208,489,198
1441,2015,0,0,2,4,1,0,1,6,0
1450,2015,19,10,41,61,13,20,24,96,36
1452,2015,0,0,0,1,0,0,0,0,0
1455,2015,57,10,63,100,42,66,79,153,57
1460,2015,17,4,64,40,8,32,29,84,37
1461,2015,59,26,71,139,20,40,125,260,98
1462,2015,56,19,62,114,38,64,95,215,96
1463,2015,8,0,12,10,2,13,12,31,3
1468,2015,27,10,70,118,23,46,76,203,76
1469,2015,44,0,29,51,13,24,17,49,6
1470,2015,49,1,68,140,21,24,111,246,37
1478,2015,32,30,75,131,14,41,54,122,40
1479,2015,12,5,53,52,8,21,59,146,52
1486,2015,60,0,32,19,11,42,25,84,10
1490,2015,40,35,90,223,30,37,135,263,99
1497,2015,7,1,7,7,1,5,1,15,4
1503,2015,54,12,63,219,26,32,75,150,112
1504,2015,37,1,42,72,15,25,74,156,55
1505,2015,6,1,18,10,0,9,9,29,1
1509,2015,58,7,65,109,23,45,85,190,62
1510,2015,24,5,47,40,10,12,22,94,12
1512,2015,59,5,54,65,34,53,89,226,59
1516,2015,10,1,46,55,4,39,40,96,45
1517,2015,13,27,57,61,8,35,22,50,13
1520,2015,56,0,38,72,14,77,146,360,111
1521,2015,3,8,28,16,1,11,5,16,12
1523,2015,46,15,79,129,19,69,76,160,131
1526,2015,7,5,46,40,7,22,20,41,30
1528,2015,120,3,86,106,53,97,112,266,70
1529,2015,36,1,68,81,36,50,62,159,51
1534,2015,0,0,1,1,1,2,2,5,0
1535,2015,39,5,72,67,17,46,61,177,25
1538,2015,31,49,83,178,23,74,100,194,111
1540,2015,17,13,33,79,12,17,29,77,32
1541,2015,3,9,39,67,3,12,25,68,16
1547,2015,62,2,51,79,23,64,103,254,53
1548,2015,1,1,1,2,0,2,1,2,0
1549,2015,48,5,89,211,38,89,142,341,130
1553,2015,4,12,16,40,2,12,18,52,17
1557,2015,14,3,20,23,6,7,15,51,9
1560,2015,57,6,64,86,26,83,171,428,156
1563,2015,31,52,80,272,25,70,125,267,44
1567,2015,96,5,29,68,17,57,44,120,18
1576,2015,18,13,51,121,19,23,88,146,57
1582,2015,0,0,0,2,0,0,0,1,0
1586,2015,23,4,65,174,20,32,28,87,27
1587,2015,61,12,63,115,50,43,128,331,91
1588,2015,3,0,20,15,2,9,17,31,1
1589,2015,0,4,20,18,1,2,5,12,15
1593,2015,3,3,25,30,7,21,8,30,5
1603,2015,114,1,64,116,24,79,171,454,219
1608,2015,0,0,0,0,0,0,0,3,0
1611,2015,29,4,84,165,20,37,113,272,63
1615,2015,25,1,27,12,9,20,13,61,23
1617,2015,2,1,9,10,3,3,7,21,4
1618,2015,64,14,57,143,27,47,90,194,69
1620,2015,0,0,2,5,0,0,1,2,0
1621,2015,12,1,40,27,5,12,28,73,13
