Season,TeamID,Seed,Depth,Division
2017,1211,X01,National Final,West
2018,1211,Z04,Sweet Sixteen,West
2019,1211,X01,Elite Eight,West
2015,1214,Y16a,Round 1,Midwest
2016,1214,X16,Round 1,Midwest
2015,1217,Z13,Round 1,West
2016,1218,Y13,Round 2,South
2016,1221,Z16a,Round 1,West
2018,1222,Z06,Round 2,West
2019,1222,Y03,Sweet Sixteen,Midwest
2015,1231,Y10,Round 1,Midwest
2016,1231,W05,Sweet Sixteen,East
2016,1233,X13,Round 1,Midwest
2017,1233,Y14,Round 1,Midwest
2018,1233,X15,Round 1,Midwest
2019,1233,Y16,Round 1,Midwest
2015,1234,X07,Round 2,South
2016,1234,Y07,Round 2,South
2019,1234,Z10,Round 2,South
2015,1235,X03,Round 1,South
2016,1235,X04,Sweet Sixteen,Midwest
2017,1235,Y05,Round 2,Midwest
2019,1235,Y06,Round 1,Midwest
2017,1240,Y15,Round 1,Midwest
2015,1242,Y02,Round 2,Midwest
2016,1242,Y01,Elite Eight,South
2017,1242,Y01,Elite Eight,Midwest
2018,1242,X01,Final Four,Midwest
2019,1242,Y04,Round 2,Midwest
2017,1243,Z11a,Round 1,South
2018,1243,Y09,Elite Eight,South
2019,1243,Z04,Round 1,South
2017,1245,Z14,Round 1,South
2015,1246,Y01,Final Four,Midwest
2016,1246,W04,Round 2,East
2017,1246,Z02,Elite Eight,South
2018,1246,Y05,Sweet Sixteen,South
2019,1246,Y02,Elite Eight,Midwest
2015,1248,W16,Round 1,East
2019,1251,W12,Round 2,East
2018,1252,Z15,Round 1,West
2018,1254,W16a,PlayIn,East
2015,1257,W04,Elite Eight,East
2017,1257,Y02,Round 2,Midwest
2019,1257,W07,Round 1,East
2018,1260,Y11,Final Four,South
2015,1261,W09,Round 1,East
2019,1261,W03,Sweet Sixteen,East
2015,1264,Y16b,PlayIn,Midwest
2017,1266,W10,Round 1,East
2019,1266,X05,Round 1,West
2018,1267,W13,Round 2,East
2015,1268,Y04,Round 2,Midwest
2016,1268,Y05,Sweet Sixteen,South
2017,1268,X06,Round 1,West
2019,1268,W06,Round 2,East
2016,1274,Y03,Sweet Sixteen,South
2017,1274,Y08,Round 1,Midwest
2018,1274,Y06,Round 1,South
2016,1276,W11a,Round 1,East
2017,1276,Y07,Sweet Sixteen,Midwest
2018,1276,Z03,National Final,West
2019,1276,X02,Sweet Sixteen,West
2015,1277,W07,Final Four,East
2016,1277,X02,Round 1,Midwest
2017,1277,Y09,Round 2,Midwest
2018,1277,X03,Round 2,Midwest
2019,1277,W02,Final Four,East
2017,1278,Z05,Round 1,South
2019,1278,W10,Round 2,East
2015,1279,Z11b,Round 1,West
2019,1279,Z08,Round 1,South
2019,1280,W05,Round 1,East
2018,1281,Z08,Round 1,West
2018,1285,Z14,Round 1,West
2019,1285,X15,Round 1,West
2017,1291,W16a,Round 1,East
2016,1292,X15,Round 2,Midwest
2017,1292,Z12,Round 2,South
2018,1293,W12,Round 1,East
2019,1293,X12,Round 2,West
2015,1295,X15,Round 1,South
2019,1295,W16a,Round 1,East
2017,1297,Z15,Round 1,South
2019,1297,X14,Round 1,West
2017,1300,Y16a,PlayIn,Midwest
2018,1300,Z16a,PlayIn,West
2019,1300,W16b,PlayIn,East
2015,1301,W08,Sweet Sixteen,East
2018,1301,X09,Round 1,Midwest
2017,1305,Y12,Round 1,Midwest
2018,1305,Y07,Sweet Sixteen,South
2019,1305,X07,Round 1,West
2015,1308,Y15,Round 1,Midwest
2017,1308,W14,Round 1,East
2018,1308,X12,Round 1,Midwest
2019,1308,Y12,Round 1,Midwest
2017,1309,W16b,PlayIn,East
2015,1314,Z04,Sweet Sixteen,West
2016,1314,W01,National Final,East
2017,1314,Z01,Champion,South
2018,1314,Z02,Round 2,West
2019,1314,Y01,Sweet Sixteen,Midwest
2017,1315,X15,Round 1,West
2015,1316,X16a,PlayIn,South
2015,1318,Y14,Round 1,Midwest
2019,1318,Y13,Round 1,Midwest
2015,1320,W05,Round 2,East
2016,1320,Z11,Round 2,West
2017,1321,X08,Round 2,West
2015,1323,Y03,Elite Eight,Midwest
2016,1323,W06,Elite Eight,East
2017,1323,X05,Round 2,West
2015,1326,Z10,Round 2,West
2018,1326,Z05,Round 2,West
2019,1326,Y11,Round 2,Midwest
2015,1328,W03,Sweet Sixteen,East
2016,1328,Z02,Final Four,West
2018,1328,X10,Round 1,Midwest
2019,1328,Z09,Round 2,South
2015,1329,Z09,Round 1,West
2017,1329,Y10,Round 1,Midwest
2019,1330,Z14,Round 1,South
2015,1332,Z08,Round 2,West
2016,1332,Z01,Elite Eight,West
2017,1332,Y03,Final Four,Midwest
2019,1332,Z12,Sweet Sixteen,South
2016,1333,Z07,Round 1,West
2018,1335,X16,Round 1,Midwest
2016,1338,W10,Round 1,East
2019,1341,X16b,PlayIn,West
2017,1343,X12,Round 1,West
2015,1344,W06,Round 1,East
2016,1344,W09,Round 2,East
2017,1344,W11a,PlayIn,East
2018,1344,Z10,Round 1,West
2015,1345,Y09,Round 1,Midwest
2016,1345,X05,Round 1,Midwest
2017,1345,Y04,Sweet Sixteen,Midwest
2018,1345,W02,Sweet Sixteen,East
2019,1345,Z03,Elite Eight,South
2018,1347,W16b,Round 1,East
2017,1348,Y11,Round 2,Midwest
2018,1348,X07,Round 2,Midwest
2015,1352,X16b,Round 1,South
2016,1355,Y12,Round 1,South
2017,1355,X16,Round 1,West
2018,1355,Z12,Round 1,West
2015,1361,X08,Round 2,South
2018,1361,Z11,Round 1,West
2016,1371,X06,Round 1,Midwest
2017,1371,Z09,Round 1,South
2018,1371,X08,Round 2,Midwest
2019,1371,Y10,Round 1,Midwest
2015,1372,X12,Round 1,South
2016,1372,W14,Round 2,East
2018,1372,W14,Round 1,East
2015,1374,X06,Round 1,South
2017,1374,W06,Round 1,East
2017,1376,W07,Final Four,East
2016,1380,Z16b,PlayIn,West
2018,1382,W11a,Round 1,East
2015,1385,X09,Round 1,South
2019,1385,X11b,PlayIn,West
2016,1386,Z08,Round 2,West
2019,1387,W13,Round 1,East
2017,1388,X07,Round 2,West
2019,1388,Z11,Round 1,South
2016,1392,W13,Round 1,East
2016,1393,X10,Final Four,Midwest
2018,1393,X11b,Sweet Sixteen,Midwest
2019,1393,X08,Round 1,West
2018,1395,X06,Round 1,Midwest
2016,1396,Y10,Round 1,South
2019,1396,W11b,PlayIn,East
2018,1397,Y03,Round 2,South
2019,1397,Z02,Sweet Sixteen,South
2015,1400,Y11,Round 1,Midwest
2016,1400,Z06,Round 1,West
2018,1400,Y10,Round 1,South
2016,1401,Z03,Sweet Sixteen,West
2018,1401,Z07,Sweet Sixteen,West
2016,1403,X08,Round 1,Midwest
2018,1403,W03,Elite Eight,East
2019,1403,X03,National Final,West
2017,1407,W15,Round 1,East
2016,1409,W11b,PlayIn,East
2015,1411,Z15,Round 1,West
2017,1411,Z16,Round 1,South
2018,1411,Z16b,Round 1,West
2015,1412,X14,Round 2,South
2017,1413,Y16b,Round 1,Midwest
2015,1414,W13,Round 1,East
2019,1414,Z13,Round 2,South
2019,1416,W09,Round 2,East
2015,1417,X11,Sweet Sixteen,South
2017,1417,Z03,Sweet Sixteen,South
2018,1417,W11b,PlayIn,East
2018,1420,Y16,Round 2,South
2016,1421,Y15,Round 1,South
2018,1422,Z13,Round 1,West
2016,1423,Z13,Round 1,West
2017,1423,W12,Round 1,East
2016,1425,W08,Round 1,East
2017,1425,W11b,Round 2,East
2015,1428,X05,Sweet Sixteen,South
2016,1428,X03,Round 2,Midwest
2019,1429,Y08,Round 1,Midwest
2015,1433,Z07,Round 1,West
2016,1433,Z10,Round 2,West
2017,1433,X10,Round 1,West
2019,1433,W08,Round 1,East
2015,1434,Y13,Round 1,Midwest
2016,1435,Y11a,PlayIn,South
2017,1435,X09,Round 1,West
2017,1436,Y13,Round 1,Midwest
2019,1436,X13,Round 1,West
2015,1437,W01,Round 2,East
2016,1437,Y02,Champion,South
2017,1437,W01,Round 2,East
2018,1437,W01,Champion,East
2019,1437,Z06,Round 2,South
2015,1438,W02,Round 2,East
2016,1438,X01,Elite Eight,Midwest
2017,1438,W05,Round 2,East
2018,1438,Y01,Round 1,South
2019,1438,Z01,Champion,South
2017,1439,W09,Round 1,East
2018,1439,W08,Round 1,East
2019,1439,W04,Sweet Sixteen,East
2017,1448,Z11b,PlayIn,South
2019,1449,Y09,Round 2,Midwest
2016,1451,W15,Round 1,East
2015,1452,Y05,Sweet Sixteen,Midwest
2016,1452,W03,Round 1,East
2017,1452,X04,Sweet Sixteen,West
2018,1452,W05,Sweet Sixteen,East
2016,1453,Z14,Round 1,West
2015,1455,Y07,Sweet Sixteen,Midwest
2016,1455,Y11b,Round 2,South
2017,1455,Z10,Round 2,South
2018,1455,W04,Round 1,East
2017,1457,Z13,Round 1,South
2015,1458,Z01,National Final,West
2016,1458,W07,Sweet Sixteen,East
2017,1458,W08,Sweet Sixteen,East
2019,1458,Z05,Round 1,South
2015,1459,Z12,Round 1,West
2019,1459,Y07,Round 2,Midwest
2018,1460,Y14,Round 1,South
2015,1461,W12,Round 1,East
2015,1462,Z06,Sweet Sixteen,West
2016,1462,W02,Round 2,East
2017,1462,X11,Elite Eight,West
2018,1462,Z01,Round 2,West
2016,1463,Z12,Round 2,West
2019,1463,W14,Round 1,East
